angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[783, 231, 270, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[783, 231, 270, 354]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 233, 268, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 233, 268, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 233, 268, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[783, 234, 267, 348]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[783, 234, 267, 348]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[785, 234, 267, 352]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 234, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[787, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[787, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 232, 267, 355]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[783, 232, 268, 355]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[783, 232, 268, 355]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[783, 232, 268, 356]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[783, 232, 268, 356]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[785, 233, 266, 347]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[785, 233, 266, 347]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[785, 233, 266, 347]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[786, 235, 266, 351]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 235, 267, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 235, 266, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[785, 235, 266, 353]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[784, 228, 262, 350]",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"[784, 228, 262, 351]",0.0,0.0,0.98,0.02,0.0,0.0
